         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           GHB_IN          GHB_OUT           SFR_IN          SFR_OUT         IN_OUT  PERCENT_ERROR
  NaN                   4     1    15757.41147   7.7917574E+6        0.3503689        0.0800743              0.0              0.0              0.0        0.4075093        0.1372176              0.0   2.7368655E-6   5.6131039E-4
  NaN                   4     2    17333.15262   7.8090906E+6        0.3499198        0.0800286              0.0              0.0              0.0        0.4071085        0.1372199              0.0   2.7283029E-6   5.6006732E-4
  NaN                   4     3    19066.46788   7.8281570E+6        0.3494272        0.0799781              0.0              0.0              0.0        0.4066690        0.1372226              0.0   2.7192862E-6   5.5877834E-4
  NaN                   4     4    20973.11467   7.8491301E+6        0.3488872        0.0799223              0.0              0.0              0.0        0.4061876        0.1372254              0.0   2.7098168E-6   5.5744788E-4
  NaN                   4     5    23070.42613   7.8722006E+6        0.3482951        0.0798608              0.0              0.0              0.0        0.4056602        0.1372286              0.0   2.6999753E-6   5.5609702E-4
  NaN                   4     6    25377.46875   7.8975780E+6        0.3476463        0.0797929              0.0              0.0              0.0        0.4050828        0.1372320              0.0   2.6895696E-6   5.5469110E-4
  NaN                   4     7    27915.21562   7.9254933E+6        0.3469356        0.0797178              0.0              0.0              0.0        0.4044509        0.1372358              0.0   2.6786586E-6   5.5324747E-4
  NaN                   4     8    30706.73718   7.9562000E+6        0.3461574        0.0796349              0.0              0.0              0.0        0.4037597        0.1372399              0.0   2.6673127E-6   5.5178631E-4
  NaN                   4     9    33777.41090   7.9899774E+6        0.3453087        0.0795464              0.0              0.0              0.0        0.4030041        0.1372444              0.0   2.6554661E-6   5.5029662E-4
  NaN                   4    10    37155.15199   8.0271326E+6        0.3443903        0.0794586              0.0              0.0              0.0        0.4021784        0.1372493              0.0   2.6430867E-6   5.4877000E-4
  NaN                   4    11    40870.66719   8.0680032E+6        0.3433862        0.0793613              0.0              0.0              0.0        0.4012770        0.1372547              0.0   2.6301475E-6   5.4721820E-4
  NaN                   4    12    44957.73391   8.1129610E+6        0.3345432        0.0792536              0.0              0.0              0.0        0.4002933        0.1450064              0.0   2.5894174E-6   5.3997013E-4
  NaN                   4    13    49453.50730   8.1624145E+6        0.3082424        0.0820043              0.0              0.0              0.0        0.3992209        0.1729850              0.0   2.2335691E-6   4.6414116E-4
  NaN                   4    14    54398.85803   8.2168133E+6        0.3002361        0.0950950              0.0              0.0              0.0        0.3980526        0.1929136              0.0   2.0676694E-6   4.1927916E-4
  NaN                   4    15    59838.74384   8.2766521E+6        0.2941606        0.1094533              0.0              0.0              0.0        0.3967810        0.2120756              0.0   1.8893212E-6   3.7321014E-4
  NaN                   4    16    65822.61822   8.3424747E+6        0.2886904        0.1251968              0.0              0.0              0.0        0.3953991        0.2319055              0.0   6.6187712E-8   1.2713836E-5
  NaN                   4    17    72404.88004   8.4148796E+6        0.2832678        0.1425482              0.0              0.0              0.0        0.3939101        0.2531905              0.0   5.6440641E-8   1.0520975E-5
  NaN                   4    18    79645.36805   8.4945249E+6        0.2779005        0.1616784              0.0              0.0              0.0        0.3924560        0.2762339              0.0   4.5706448E-8   8.2482606E-6
  NaN                   4    19    87609.90485   8.5821348E+6        0.2740617        0.1800784              0.0              0.0              0.0        0.3924655        0.2984822              0.0   3.6934529E-8   6.4509517E-6
  NaN                   4    20    96370.89534   8.6785057E+6        0.2685632        0.1824724              0.0              0.0              0.0        0.3919776        0.3058868              0.0   4.2171446E-8   7.3411867E-6
  NaN                   4    21   106007.98487   8.7845137E+6        0.2523179        0.1848165              0.0              0.0              0.0        0.3905196        0.3230183              0.0   3.5610472E-8   6.1895069E-6
  NaN                   4    22   116608.78336   8.9011225E+6        0.2462226        0.1922189              0.0              0.0              0.0        0.3888404        0.3348367              0.0   3.2195945E-8   5.5409050E-6
  NaN                   4    23   128269.66169   9.0293922E+6        0.2407704        0.1996964              0.0              0.0              0.0        0.3869590        0.3458851              0.0   2.6166797E-8   4.4603348E-6
  NaN                   4    24   141096.62786   9.1704888E+6        0.2354901        0.2078080              0.0              0.0              0.0        0.3848822        0.3572001              0.0   1.9697344E-8   3.3233793E-6
  NaN                   4    25   155206.29065   9.3256951E+6        0.2301052        0.2167091              0.0              0.0              0.0        0.3826195        0.3692235              0.0   1.1530931E-8   1.9239746E-6
  NaN                   4    26   170726.91972   9.4964220E+6        0.2245628        0.2265471              0.0              0.0              0.0        0.3802171        0.3822014              0.0   1.8861155E-9   3.1084819E-7
  NaN                   4    27   187799.61169   9.6842216E+6        0.2190073        0.2373726              0.0              0.0              0.0        0.3778819        0.3962472              0.0   9.0760902E-9  -1.4751766E-6
  NaN                   4    28   206579.57286   9.8908012E+6        0.2141956        0.2489557              0.0              0.0              0.0        0.3764085        0.4111687              0.0   1.9200738E-8  -3.0703287E-6
  NaN                   4    29   227237.53014   1.0118039E+7        0.2105717        0.2516968              0.0              0.0              0.0        0.3749504        0.4160754              0.0   2.2311812E-8  -3.5605061E-6
  NaN                   4    30   249961.28316   1.0368000E+7        0.2050000        0.2504472              0.0              0.0              0.0        0.3723379        0.4177852              0.0   1.7853872E-8  -2.8667788E-6
  NaN                   5     1    15757.41147   1.0383757E+7        0.2001306        0.2507824              0.0              0.0              0.0        0.3721726        0.4228237              0.0   6.7348220E-7  -1.0811095E-4
  NaN                   5     2    17333.15262   1.0401091E+7        0.1996361        0.2510406              0.0              0.0              0.0        0.3719901        0.4233939              0.0   6.1173106E-7  -9.8186405E-5
  NaN                   5     3    19066.46788   1.0420157E+7        0.1989396        0.2511159              0.0              0.0              0.0        0.3717887        0.4239644              0.0   5.9987193E-7  -9.6302429E-5
  NaN                   5     4    20973.11467   1.0441130E+7        0.1986007        0.2513093              0.0              0.0              0.0        0.3715666        0.4242746              0.0   5.8907928E-7  -9.4574147E-5
  NaN                   5     5    23070.42613   1.0464201E+7        0.1978482        0.2516636              0.0              0.0              0.0        0.3713217        0.4251366              0.0   5.8703710E-7  -9.4229716E-5
  NaN                   5     6    25377.46875   1.0489578E+7        0.1972874        0.2518472              0.0              0.0              0.0        0.3710519        0.4256111              0.0   5.8817154E-7  -9.4424895E-5
  NaN                   5     7    27915.21562   1.0517493E+7        0.1967120        0.2520853              0.0              0.0              0.0        0.3707546        0.4261273              0.0   5.7742517E-7  -9.2708485E-5
  NaN                   5     8    30706.73718   1.0548200E+7        0.1958312        0.2524239              0.0              0.0              0.0        0.3704273        0.4270194              0.0   5.9295461E-7  -9.5200085E-5
  NaN                   5     9    33777.41090   1.0581977E+7        0.1953013        0.2527690              0.0              0.0              0.0        0.3700671        0.4275342              0.0   6.0089167E-7  -9.6476742E-5
  NaN                   5    10    37155.15199   1.0619133E+7        0.1941350        0.2530744              0.0              0.0              0.0        0.3696708        0.4286097              0.0   6.0416715E-7  -9.7016783E-5
  NaN                   5    11    40870.66719   1.0660003E+7        0.1906374        0.2543937              0.0              0.0              0.0        0.3692352        0.4329908              0.0   7.0720345E-7  -1.1340139E-4
