         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           WEL_IN          WEL_OUT           SWT_IN          SWT_OUT         IN_OUT  PERCENT_ERROR
  NaN                   2    59         365.25       21550.75     130476.32754              0.0              0.0      27562.52342          39600.0         144000.0       1486.19588              0.0   1.5448313E-6  9.0044801E-10
  NaN                   2    60         365.25        21916.0     130223.94440              0.0              0.0      27323.34396          39600.0         144000.0       1499.39956              0.0   1.5863625E-6  9.2594649E-10
  NaN                   3     1         365.25       22281.25      82759.47870      94324.65645              0.0      27124.73696          39600.0              0.0        454.04348       1364.12877   1.7307029E-6   1.4092120E-9
  NaN                   3     2         365.25        22646.5      73122.71721      85773.08333              0.0      26922.57932          39600.0              0.0        435.60827        462.66283   4.3932232E-8  3.8823685E-11
  NaN                   3     3         365.25       23011.75      65252.79590      78092.64340              0.0      26731.26056          39600.0              0.0        391.73151        420.62344   1.7542334E-7  1.6668167E-10
  NaN                   3     4         365.25        23377.0      58350.88209      71360.07818              0.0      26552.03742          39600.0              0.0        351.40541        390.17189   1.6458216E-8  1.6742455E-11
  NaN                   3     5         365.25       23742.25      52249.27700      65417.70817              0.0      26385.25202          39600.0              0.0        315.67281        361.98963   8.2323095E-7  8.9321477E-10
  NaN                   3     6         365.25        24107.5      47029.91487      60346.59508              0.0      26231.00937          39600.0              0.0        284.42712        336.73754   1.8301507E-6   2.1056947E-9
  NaN                   3     7         365.25       24472.75      42241.10740      55694.65891              0.0      26089.22926          39600.0              0.0        255.96551        313.18474   2.6775524E-9  3.2614469E-12
  NaN                   3     8         365.25        24838.0      37909.77826      51488.78086              0.0      25959.68083          39600.0              0.0        230.35593        291.67250   2.3824396E-6   3.0646198E-9
  NaN                   3     9         365.25       25203.25      33985.81436      47679.02042              0.0      25842.01512          39600.0              0.0        207.32478        272.10360   3.7545396E-6   5.0879251E-9
  NaN                   3    10         365.25        25568.5      30531.48754      44327.96352              0.0      25735.79470          39600.0              0.0        186.95055        254.67987   3.8693543E-8  5.5026169E-11
  NaN                   3    11         365.25       25933.75      27465.60104      41354.82239              0.0      25640.51936          39600.0              0.0        168.90490        239.16419   2.1037704E-6   3.1290040E-9
  NaN                   3    12         365.25        26299.0      24740.90339      38712.81677              0.0      25555.64777          39600.0              0.0        152.82566        225.26451   2.6005582E-6   4.0322652E-9
  NaN                   3    13         365.25       26664.25      22299.04904      36344.11058              0.0      25480.61515          39600.0              0.0        138.52724        212.85054   2.0693406E-6   3.3356244E-9
  NaN                   3    14         365.25        27029.5      20155.36941      34264.56488              0.0      25414.84737          39600.0              0.0        125.89863        201.85579   2.4457113E-6   4.0842677E-9
  NaN                   3    15         365.25       27394.75      18259.86851      32424.71998              0.0      25357.77180          39600.0              0.0        114.71987        192.09660   3.4600089E-7  5.9681474E-10
