         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           WEL_IN          WEL_OUT           SWI_IN          SWI_OUT         IN_OUT  PERCENT_ERROR
  NaN                   1   100            2.0          200.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   101            2.0          202.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  4.4408921E-16  4.4408921E-14
  NaN                   1   102            2.0          204.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   103            2.0          206.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   104            2.0          208.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  3.3306691E-16  3.3306691E-14
  NaN                   1   105            2.0          210.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  2.2204460E-16  2.2204460E-14
  NaN                   1   106            2.0          212.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  1.1102230E-16  1.1102230E-14
  NaN                   1   107            2.0          214.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   108            2.0          216.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   109            2.0          218.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   110            2.0          220.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  1.1102230E-16  1.1102230E-14
  NaN                   1   111            2.0          222.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   112            2.0          224.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  2.2204460E-16  2.2204460E-14
  NaN                   1   113            2.0          226.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  1.1102230E-16  1.1102230E-14
  NaN                   1   114            2.0          228.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   115            2.0          230.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  2.2204460E-16  2.2204460E-14
  NaN                   1   116            2.0          232.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   117            2.0          234.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  1.1102230E-16  1.1102230E-14
  NaN                   1   118            2.0          236.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   119            2.0          238.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   120            2.0          240.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  1.1102230E-16  1.1102230E-14
  NaN                   1   121            2.0          242.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   122            2.0          244.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   123            2.0          246.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  2.2204460E-16  2.2204460E-14
  NaN                   1   124            2.0          248.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   125            2.0          250.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   126            2.0          252.0              0.0              0.0              0.0        1.0000000              1.0              0.0              0.0              0.0  2.2204460E-16  2.2204460E-14
  NaN                   1   127            2.0          254.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
  NaN                   1   128            2.0          256.0              0.0              0.0              0.0              1.0              1.0              0.0              0.0              0.0            0.0            0.0
