         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           DRN_IN          DRN_OUT           RCH_IN          RCH_OUT          MNW1_IN         MNW1_OUT         IN_OUT  PERCENT_ERROR
  NaN                   3    14     10.8631163   1.0000459E+6     1.7787421E+6              0.0              0.0     1.0477267E+6              0.0     592755.85206        779756.25              0.0              0.0     918015.90072      0.0911557  -3.5628597E-6
  NaN                   3    15     14.1220512      1000060.0     1.7382571E+6              0.0              0.0     1.0249512E+6              0.0     580751.94833        779756.25              0.0              0.0     912310.23550      0.0377157  -1.4978339E-6
  NaN                   4     1      1.0759996   1.0000611E+6     2.5128348E+6              0.0              0.0     1.0220716E+6              0.0     579083.09420              0.0              0.0              0.0     911680.92578      0.8354267  -3.3246379E-5
  NaN                   4     2      1.3987995   1.0000625E+6     2.5061376E+6              0.0              0.0     1.0183232E+6              0.0     576963.23584              0.0              0.0              0.0     910850.91707      0.2860815   1.1415235E-5
  NaN                   4     3      1.8184393   1.0000643E+6     2.4975764E+6              0.0              0.0     1.0135167E+6              0.0     574282.83538              0.0              0.0              0.0     909777.32435      0.4538175  -1.8170312E-5
  NaN                   4     4      2.3639711   1.0000667E+6     2.4867121E+6              0.0              0.0     1.0074029E+6              0.0     570910.83892              0.0              0.0              0.0     908398.62017      0.3050754  -1.2268222E-5
  NaN                   4     5      3.0731624   1.0000697E+6     2.4729996E+6              0.0              0.0     999674.38530              0.0     566691.03706              0.0              0.0              0.0     906634.30331      0.1544115  -6.2438960E-6
  NaN                   4     6      3.9951111   1.0000737E+6     2.4557862E+6              0.0              0.0     989965.97935              0.0     561437.27074              0.0              0.0              0.0     904382.85976      0.0992168   4.0401221E-6
  NaN                   4     7      5.1936445   1.0000789E+6     2.4343008E+6              0.0              0.0     977855.04228              0.0     554927.07027              0.0              0.0              0.0     901518.16654      0.5488019   2.2544544E-5
  NaN                   4     8      6.7517378   1.0000857E+6     2.4076398E+6              0.0              0.0     962861.33562              0.0     546893.77502              0.0              0.0              0.0     897885.10474      0.4088328  -1.6980647E-5
  NaN                   4     9      8.7772592   1.0000944E+6     2.3747624E+6              0.0              0.0     944448.30862              0.0     537019.21662              0.0              0.0              0.0     893295.14971      0.2595647  -1.0930131E-5
  NaN                   4    10     11.4104369   1.0001059E+6     2.3344747E+6              0.0              0.0     922025.82988              0.0     524927.00606              0.0              0.0              0.0     887521.94031      0.0441355  -1.8905964E-6
  NaN                   4    11     14.8335680   1.0001207E+6     2.2854361E+6              0.0              0.0     894954.15502              0.0     510182.37524              0.0              0.0              0.0     880299.48024      0.0469120   2.0526498E-6
  NaN                   4    12     19.2836384   1.0001400E+6     2.2261672E+6              0.0              0.0     862552.63704              0.0     492294.54098              0.0              0.0              0.0     871320.37926      0.3872541  -1.7395553E-5
  NaN                   4    13     25.0687299   1.0001650E+6     2.1550803E+6              0.0              0.0     824114.10020              0.0     470726.28457              0.0              0.0              0.0     860240.19237      0.2672934  -1.2402945E-5
  NaN                   4    14     32.5893489   1.0001976E+6     2.0088272E+6       5301.66613              0.0     788030.90624              0.0     445103.62649              0.0              0.0       2766.81059     773154.77258      3.0612883   1.5218233E-4
  NaN                   4    15     42.3661535   1.0002400E+6     1.9089860E+6              0.0              0.0     738894.53633              0.0     414692.09893              0.0              0.0       1793.42430     757193.42430      0.6363186  -3.3301517E-5
  NaN                   5     1         14.602   1.0002546E+6              0.0     2.7602763E+6              0.0     808220.26809              0.0     453604.62598        4777500.0              0.0       1181.16530     756581.16530      1.2117800  -2.5358038E-5
  NaN                   5     2         14.602    1000269.204              0.0     2.6709069E+6              0.0     867414.38668              0.0     483779.48951        4777500.0              0.0        724.79223     756124.79223      0.8181264  -1.7121972E-5
  NaN                   5     3         14.602    1000283.806              0.0     2.5944657E+6              0.0     918834.37548              0.0     508800.62641        4777500.0              0.0        346.98620     755746.98620      0.6939032  -1.4523344E-5
  NaN                   5     4         14.602   1.0002984E+6       3029.63794     2.4680589E+6              0.0     955268.81141              0.0     530416.36142        4777500.0              0.0              0.0     826787.39700      1.8693422  -3.9103238E-5
  NaN                   5     5         14.602   1.0003130E+6              0.0     2.4048547E+6              0.0     992968.31722              0.0     549767.35910        4777500.0              0.0              0.0     829909.54430      0.1288625   2.6972798E-6
  NaN                   5     6         14.602   1.0003276E+6              0.0     2.3492296E+6              0.0     1.0273137E+6              0.0     567455.78270        4777500.0              0.0              0.0     833500.91731      0.0928918   1.9443601E-6
  NaN                   5     7         14.602   1.0003422E+6       3254.42367     2.2749733E+6              0.0     1.0588763E+6              0.0     583850.02604        4777500.0              0.0              0.0     863055.24293      0.4522815  -9.4604625E-6
  NaN                   5     8         14.602   1.0003568E+6      11355.18701     2.1915418E+6              0.0     1.0880255E+6              0.0     599193.56873        4777500.0              0.0              0.0     910092.60602      1.7301982   3.6129691E-5
  NaN                   5     9         14.602   1.0003714E+6       1628.87993     2.1360576E+6              0.0     1.1152447E+6              0.0     613662.86400        4777500.0              0.0              0.0     914163.78702      0.0480408  -1.0052202E-6
  NaN                   5    10         14.602   1.0003860E+6              0.0     2.0899906E+6              0.0     1.1408122E+6              0.0     627387.49865        4777500.0              0.0              0.0     919309.73953      0.0252349  -5.2820378E-7
  NaN                   5    11         14.602   1.0004006E+6              0.0     2.0472296E+6              0.0     1.1649415E+6              0.0     640466.99922        4777500.0              0.0              0.0     924861.88096      0.0193374   4.0475960E-7
  NaN                   5    12         14.602   1.0004152E+6              0.0     2.0061761E+6              0.0     1.1878047E+6              0.0     652979.74114        4777500.0              0.0              0.0     930539.43220      0.0640117   1.3398569E-6
  NaN                   5    13         14.602   1.0004298E+6              0.0     1.9667473E+6              0.0     1.2095437E+6              0.0     664988.88336        4777500.0              0.0              0.0     936220.04691      0.0973333   2.0373277E-6
  NaN                   5    14         14.602   1.0004444E+6              0.0     1.9288277E+6              0.0     1.2302773E+6              0.0     676546.25964        4777500.0              0.0              0.0     941848.68710      0.1157023   2.4218164E-6
  NaN                   5    15         14.602   1.0004590E+6              0.0     1.8922985E+6              0.0     1.2501061E+6              0.0     687695.04710        4777500.0              0.0              0.0     947400.22742      0.1192918   2.4969504E-6
  NaN                   5    16         14.602   1.0004736E+6              0.0     1.8570485E+6              0.0     1.2691162E+6              0.0     698471.66368        4777500.0              0.0              0.0     952863.45295      0.1104857   2.3126264E-6
  NaN                   5    17         14.602   1.0004882E+6              0.0     1.8229773E+6              0.0     1.2873815E+6              0.0     708907.15726        4777500.0              0.0              0.0     958233.89749      0.0929126   1.9447952E-6
  NaN                   5    18         14.602   1.0005028E+6              0.0     1.7899943E+6              0.0     1.3049661E+6              0.0     719027.99925        4777500.0              0.0              0.0     963509.62886      1.9984670   4.1830820E-5
  NaN                   5    19         14.602   1.0005174E+6              0.0     1.7580220E+6              0.0     1.3219253E+6              0.0     728857.82199        4777500.0              0.0              0.0     968692.94584      1.9348057   4.0498295E-5
  NaN                   5    20         14.602   1.0005320E+6              0.0     1.7269888E+6              0.0     1.3383079E+6              0.0     738416.76920        4777500.0              0.0              0.0     973784.65599      1.8655322   3.9048300E-5
  NaN                   5    21         14.602   1.0005466E+6              0.0     1.6968322E+6              0.0     1.3541566E+6              0.0     747722.62300        4777500.0              0.0        104.38212     978891.13606      1.8369320   3.8448816E-5
  NaN                   5    22         14.602   1.0005612E+6              0.0     1.6674965E+6              0.0     1.3695090E+6              0.0     756791.15654        4777500.0              0.0        235.07844     983936.51105      1.8766048   3.9278134E-5
  NaN                   5    23         14.602   1.0005758E+6      11870.18707     1.6103295E+6              0.0     1.3843346E+6              0.0     765632.31932        4777500.0              0.0        413.87398     1.0294883E+6      0.6727630  -1.4045790E-5
  NaN                   5    24         14.602   1.0005904E+6       2473.61004     1.5740292E+6              0.0     1.3987118E+6              0.0     774258.77702        4777500.0              0.0        576.11790     1.0335497E+6      0.3056868   6.3943859E-6
  NaN                   5    25         14.602   1.0006050E+6              0.0     1.5442884E+6              0.0     1.4126691E+6              0.0     782682.25380        4777500.0              0.0        724.34100     1.0385845E+6      0.0319412   6.6847523E-7
  NaN                   5    26         14.602   1.0006197E+6              0.0     1.5176833E+6              0.0     1.4262949E+6              0.0     790913.82921        4777500.0              0.0        861.26824     1.0434667E+6      2.6227980   5.4889084E-5
  NaN                   5    27         14.602   1.0006343E+6              0.0     1.4926897E+6              0.0     1.4397427E+6              0.0     798964.98870        4777500.0              0.0        987.04458     1.0470895E+6      0.1923274   4.0248604E-6
  NaN                   5    28         14.602   1.0006489E+6              0.0     1.4680918E+6              0.0     1.4529063E+6              0.0     806843.93924        4777500.0              0.0       1108.14776     1.0507652E+6      0.9953771   2.0829855E-5
  NaN                   5    29         14.602   1.0006635E+6              0.0     1.4439282E+6              0.0     1.4657916E+6              0.0     814558.22663        4777500.0              0.0       1226.04774     1.0544471E+6      0.9759225   2.0422233E-5
