         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           WEL_IN          WEL_OUT           SWT_IN          SWT_OUT         IN_OUT  PERCENT_ERROR
  NaN                   3     1         365.25       22281.25      83380.92411      94805.79037              0.0      27299.82332          39600.0              0.0        461.50765       1336.84350      0.0254267  -2.0598057E-5
  NaN                   3     2         365.25        22646.5      73641.62170      86117.65261              0.0      27098.43355          39600.0              0.0        441.30093        467.27641      0.4399354  -3.8698385E-4
  NaN                   3     3         365.25       23011.75      65746.42068      78411.15443              0.0      26907.65095          39600.0              0.0        396.93771        424.94871      0.3957082  -3.7421493E-4
  NaN                   3     4         365.25        23377.0      58812.32522      71646.15068              0.0      26728.73165          39600.0              0.0        356.19941        394.00495      0.3626640  -3.6718513E-4
  NaN                   3     5         365.25       23742.25      52657.58256      65650.54264              0.0      26562.04229          39600.0              0.0        319.95721        365.29235      0.3375079  -3.6456715E-4
  NaN                   3     6         365.25        24107.5      47417.63561      60558.90848              0.0      26407.71344          39600.0              0.0        288.41104        339.74136      0.3166377  -3.6267495E-4
  NaN                   3     7         365.25       24472.75      42607.49725      55886.73185              0.0      26265.70415          39600.0              0.0        259.63129        315.88424      1.1917022     -0.0014451
  NaN                   3     8         365.25        24838.0      38248.45522      51653.46490              0.0      26135.77759          39600.0              0.0        233.73442        294.09186      1.1447102     -0.0014660
  NaN                   3     9         365.25       25203.25      34300.04653      47819.69502              0.0      26017.61731          39600.0              0.0        210.39592        274.22900      1.0988799     -0.0014827
  NaN                   3    10         365.25        25568.5      30819.84069      44443.29337              0.0      25910.80399          39600.0              0.0        189.75494        256.55193      1.0536604     -0.0014922
  NaN                   3    11         365.25       25933.75      27726.43366      41443.24955              0.0      25814.85311          39600.0              0.0        171.45059        240.79058      1.0089969     -0.0014948
  NaN                   3    12         365.25        26299.0      24983.91882      38784.11494              0.0      25729.23685          39600.0              0.0        155.15713        226.68920      0.9650389     -0.0014906
