         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           WEL_IN          WEL_OUT           GHB_IN          GHB_OUT           SFR_IN          SFR_OUT      UZF_RECH_IN     UZF_RECH_OUT     UZF_GW_ET_IN    UZF_GW_ET_OUT      UZF_LEAK_IN     UZF_LEAK_OUT         IN_OUT  PERCENT_ERROR
  NaN                   5     8   161184.40442   1.1457898E+7       21.0294911        9.5749179              0.0              0.0              0.0             30.0        0.2086613        0.2661674       41.9604815       14.3642949       10.1639652              0.0              0.0       19.1600043              0.0              0.0      0.0027854     -0.0037967
  NaN                   5     9   177302.84486   1.1635200E+7       20.0953184        8.4580993              0.0              0.0              0.0             30.0        0.2087450        0.2664355       41.9715161       14.2266811        9.7549355              0.0              0.0       19.0812959              0.0              0.0      0.0019969     -0.0027722
  NaN                   5    10   195033.12935   1.1830234E+7       19.1187434        7.4215976              0.0              0.0              0.0             30.0        0.2088176        0.2666839       41.9964672       14.1084291        9.4562947              0.0              0.0       18.9845720              0.0              0.0   9.5967223E-4     -0.0013558
  NaN                   5    11   214536.44228   1.2044770E+7       18.3007739        6.4529119              0.0              0.0              0.0             30.0        0.2088786        0.2669079       42.0718797       14.0098796        9.0299795              0.0              0.0       18.8828343              0.0              0.0      0.0010220     -0.0014682
  NaN                   5    12   235990.08651   1.2280760E+7       17.3431472        5.3388331              0.0              0.0              0.0             30.0        0.2089281        0.2670066       42.1917997       13.9224076        8.5590775              0.0              0.0       18.7755325              0.0              0.0   8.2733004E-4     -0.0012113
  NaN                   5    13   259589.09516   1.2540349E+7       16.4750568        4.3996385              0.0              0.0              0.0             30.0        0.2089667        0.2669272       42.3321647       13.8379906        8.1557554              0.0              0.0       18.6686351              0.0              0.0      0.0012479     -0.0018578
  NaN                   5    14   285548.00468   1.2825897E+7       15.6442219        3.7117679              0.0              0.0              0.0             30.0        0.2089943        0.2667257       42.4746013       13.7587844        7.9596304              0.0              0.0       18.5513200              0.0              0.0      0.0011500     -0.0017349
  NaN                   5    15   314102.80515   1.3140000E+7       14.8227307        3.2301603              0.0              0.0              0.0             30.0        0.2090119        0.2664357       42.6093106       13.6843718        7.9738344              0.0              0.0       18.4356609              0.0              0.0      0.0017410     -0.0026534
  NaN                   6     1    82713.08566   1.3222713E+7        5.0596321       23.6727015              0.0              0.0              0.0              0.0        0.2090150        0.2663472       42.6463951       13.6651674        8.0664752              0.0              0.0       18.3855837              0.0              0.0      0.0082824     -0.0147937
  NaN                   6     2    90984.39423   1.3313697E+7        4.5468746       23.3181775              0.0              0.0              0.0              0.0        0.2090177        0.2662488       42.6843408       13.6452645        8.1396765              0.0              0.0       18.3578073              0.0              0.0      0.0075885     -0.0136524
  NaN                   6     3   100082.83365   1.3413780E+7        4.1545801       23.0589225              0.0              0.0              0.0              0.0        0.2090199        0.2661442       42.7229395       13.6248577        8.1853131              0.0              0.0       18.3288066              0.0              0.0      0.0068785     -0.0124441
  NaN                   6     4   110091.11701   1.3523871E+7        3.8279673       22.8980291              0.0              0.0              0.0              0.0        0.2090215        0.2660237       42.7613637       13.6033475        8.2616035              0.0              0.0       18.2988186              0.0              0.0      0.0062629     -0.0113740
