         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           WEL_IN          WEL_OUT      SUB_INST_IN     SUB_INST_OUT     SUB_DELAY_IN    SUB_DELAY_OUT         IN_OUT  PERCENT_ERROR
  NaN                  10     6      106.32880         3288.7       4497.76865              0.0       41.0574121      26815.54585          30000.0          30000.0       5631.93569    1.4750695E-11      16644.78039              0.0      0.0037090  -6.5281810E-6
  NaN                  11     1     28.6374366     3317.33744       4486.86684              0.0       41.5450081      26796.35076          30000.0          30000.0       5596.63050    6.5590156E-11      16671.30915              0.0   7.3259667E-4   1.2898657E-6
  NaN                  11     2     37.2286675     3354.56610       4478.05675              0.0       42.1798238      26771.46014          30000.0          30000.0       5620.85850    3.8141268E-11      16630.38242              0.0      0.0173547   3.0569476E-5
  NaN                  11     3     48.3972678     3402.96337       4464.29579              0.0       43.0066210      26739.21472          30000.0          30000.0       5617.30199    3.2177071E-11      16614.60669              0.0      0.0036297  -6.3971349E-6
  NaN                  11     4     62.9164481     3465.87982       4447.32741              0.0       44.0826989      26697.47760          30000.0          30000.0       5605.80919    3.5907698E-11      16600.30827              0.0      0.0499686   8.8131967E-5
  NaN                  11     5     81.7913826     3547.67120       4422.05978              0.0       45.4813538      26643.55644          30000.0          30000.0       5585.61323    2.4190882E-11      16590.35344              0.0      0.0486447  -8.5878722E-5
  NaN                  11     6      106.32880     3654.00000       4392.64029              0.0       47.3000070      26573.95151          30000.0          30000.0       5561.09601    1.6812114E-11      16572.89287              0.0      0.0223390  -3.9486316E-5
  NaN                  12     1     28.6374366     3682.63744       4382.03195              0.0       47.7878319      26555.25555          30000.0          30000.0       5524.19290    5.0671393E-11      16601.24387    6.8147298E-13      0.0009996   1.7674792E-6
  NaN                  12     2     37.2286675     3719.86610       4373.78946              0.0       48.4233267      26531.00518          30000.0          30000.0       5553.62305    3.9051284E-11      16555.18424              0.0      0.0149078   2.6370985E-5
  NaN                  12     3     48.3972678     3768.26337       4360.65307              0.0       49.2514062      26499.57969          30000.0          30000.0       5552.79884    3.7481190E-11      16536.88064              0.0      0.0042577   7.5358788E-6
  NaN                  12     4     62.9164481     3831.17982       4344.64569              0.0       50.3294556      26458.88426          30000.0          30000.0       5543.95158    3.5936610E-11      16520.00175              0.0      0.0442169   7.8316938E-5
  NaN                  12     5     81.7913826     3912.97120       4320.44247              0.0       51.7311151      26406.28167          30000.0          30000.0       5527.35738    1.9281540E-11      16506.57518              0.0      0.1755176  -3.1116724E-4
  NaN                  12     6      106.32880     4019.30000       4292.37492              0.0       53.5537852      26338.33763          30000.0          30000.0       5505.76711    1.4601006E-11      16486.57826              0.0      0.0635462  -1.1279388E-4
  NaN                  13     1     28.6374366     4047.93744       4282.15771              0.0       54.0424670      26320.08478          30000.0          30000.0       5468.50388    6.5494879E-11      16515.38201              0.0      0.0012987   2.3058432E-6
  NaN                  13     2     37.2286675     4085.16610       4274.36281              0.0       54.6792743      26296.40442          30000.0          30000.0       5500.04126    5.6500380E-11      16467.33897              0.0      0.0178917   3.1781228E-5
  NaN                  13     3     48.3972678     4133.56337       4261.86488              0.0       55.5092106      26265.71042          30000.0          30000.0       5500.95782    3.7941601E-11      16447.37798              0.0   5.3477597E-4  -9.5044738E-7
  NaN                  13     4     62.9164481     4196.47982       4246.59108              0.0       56.5897547      26225.95006          30000.0          30000.0       5493.48044    2.9821893E-11      16429.33134              0.0      0.0425527   7.5681512E-5
  NaN                  13     5     81.7913826     4278.27120       4223.40826              0.0       57.9946694      26174.53680          30000.0          30000.0       5478.56020    2.0738219E-11      16414.40757              0.0      0.1661088  -2.9570173E-4
  NaN                  13     6      106.32880     4384.60000       4196.45415              0.0       59.8215618      26108.10493          30000.0          30000.0       5459.39907    1.3959486E-11      16392.40544              0.0      0.0247026  -4.4026771E-5
  NaN                  14     1     28.6374366     4413.23744       4187.26974              0.0       60.3115059      26090.25120          30000.0          30000.0       5429.43111    8.1263194E-11      16413.23923              0.0   3.9011591E-4   6.9551463E-7
  NaN                  14     2     37.2286675     4450.46610       4179.53037              0.0       60.9499155      26067.08829          30000.0          30000.0       5455.83054    3.8935242E-11      16370.79478              0.0      0.0173173   3.0886691E-5
