         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT           GHB_IN          GHB_OUT           SFR_IN          SFR_OUT         IN_OUT  PERCENT_ERROR
  NaN                   4     5    23070.42613   7.8722006E+6        0.3478965        0.0800198              0.0              0.0              0.0        0.4051086        0.1372319              0.0   9.8756900E-8   2.0356858E-5
  NaN                   4     6    25377.46875   7.8975780E+6        0.3472506        0.0799533              0.0              0.0              0.0        0.4045328        0.1372353              0.0   9.7193323E-8   2.0061121E-5
  NaN                   4     7    27915.21562   7.9254933E+6        0.3465431        0.0798798              0.0              0.0              0.0        0.4039025        0.1372391              0.0   9.5680424E-8   1.9777580E-5
  NaN                   4     8    30706.73718   7.9562000E+6        0.3457685        0.0797986              0.0              0.0              0.0        0.4032132        0.1372432              0.0   9.4214715E-8   1.9505680E-5
  NaN                   4     9    33777.41090   7.9899774E+6        0.3449205        0.0797088              0.0              0.0              0.0        0.4024595        0.1372477              0.0   9.2793759E-8   1.9245099E-5
  NaN                   4    10    37155.15199   8.0271326E+6        0.3439929        0.0796095              0.0              0.0              0.0        0.4016361        0.1372526              0.0   9.1413989E-8   1.8995291E-5
  NaN                   4    11    40870.66719   8.0680032E+6        0.3429803        0.0795012              0.0              0.0              0.0        0.4007370        0.1372579              0.0   9.0145630E-8   1.8771022E-5
  NaN                   4    12    44957.73391   8.1129610E+6        0.3337346        0.0793957              0.0              0.0              0.0        0.3997560        0.1454170              0.0   9.2274051E-8   1.9257793E-5
  NaN                   4    13    49453.50730   8.1624145E+6        0.3076876        0.0823461              0.0              0.0              0.0        0.3986864        0.1733448              0.0   7.9337205E-8   1.6493108E-5
  NaN                   4    14    54398.85803   8.2168133E+6        0.2998531        0.0954670              0.0              0.0              0.0        0.3975213        0.1931351              0.0   7.5852625E-8   1.5386297E-5
  NaN                   4    15    59838.74384   8.2766521E+6        0.2938271        0.1098187              0.0              0.0              0.0        0.3962531        0.2122446              0.0   6.8571673E-8   1.3549793E-5
  NaN                   4    16    65822.61822   8.3424747E+6        0.2884127        0.1255682              0.0              0.0              0.0        0.3948748        0.2320303              0.0   5.9434015E-8   1.1419889E-5
  NaN                   4    17    72404.88004   8.4148796E+6        0.2830293        0.1429253              0.0              0.0              0.0        0.3933896        0.2532855              0.0   4.8201093E-8   8.9874626E-6
