         DATE_START   PER   STP           DELT        SIMTIME       STORAGE_IN      STORAGE_OUT           CHD_IN          CHD_OUT            ET_IN           ET_OUT           RCH_IN          RCH_OUT           FHB_IN          FHB_OUT           LAK_IN          LAK_OUT         IN_OUT  PERCENT_ERROR
  NaN                   1    54     45.7405383     1532.08157              0.0      25015.28639     173864.19931       7341.72242              0.0     1.8517738E+6        1740000.0              0.0              0.0              0.0       8134.46417      37868.30332      0.4152823  -2.1606792E-5
  NaN                   1    55     46.6553491     1578.73692              0.0      22800.75702     173232.23160       7535.26125              0.0     1.8567350E+6        1740000.0              0.0              0.0              0.0       9397.17190      35558.83816      0.4200831  -2.1849406E-5
  NaN                   1    56     47.5884560     1626.32537              0.0      20734.87957     172644.53253       7715.49471              0.0     1.8613369E+6        1740000.0              0.0              0.0              0.0      10565.09198      33422.75261      0.4241600  -2.2054794E-5
  NaN                   1    57     48.5402252     1674.86560              0.0      18812.03707     172099.13057       7882.87994              0.0     1.8655956E+6        1740000.0              0.0              0.0              0.0      11642.76369      31451.75535      0.4272573  -2.2209696E-5
  NaN                   1    58     49.5110297     1724.37663              0.0      17026.62477     171594.16000       8037.96058              0.0     1.8695273E+6        1740000.0              0.0              0.0              0.0      12777.37071      29780.06799      0.4290917  -2.2297755E-5
  NaN                   1    59     50.5012503     1774.87788              0.0      15372.98792     171127.76111       8181.28377              0.0     1.8731481E+6        1740000.0              0.0              0.0              0.0      13939.25266      28365.03357      0.4295586  -2.2313953E-5
  NaN                   1    60     51.5112753     1826.38915              0.0      13845.38998     170698.07335       8313.40111              0.0     1.8764744E+6        1740000.0              0.0              0.0              0.0      15003.56539      27068.86378      0.4284196  -2.2247452E-5
  NaN                   1    61     52.5415008     1878.93065              0.0      12438.00456     170303.23394       8434.86821              0.0     1.8795224E+6        1740000.0              0.0              0.0              0.0      15976.08356      25884.51932      0.4257169  -2.2100475E-5
  NaN                   1    62     53.5923308     1932.52299              0.0      11144.92377     169941.38044       8546.24329              0.0     1.8823081E+6        1740000.0              0.0              0.0              0.0      16862.49209      24805.07017      0.4212310  -2.1861642E-5
  NaN                   1    63     54.6641774     1987.18716              0.0       9960.17930     169610.65603       8648.08511              0.0     1.8848474E+6        1740000.0              0.0              0.0              0.0      17668.35961      23823.73002      0.4150865  -2.1537433E-5
  NaN                   1    64     55.7574610     2042.94462              0.0       8877.77059     169309.21662       8740.95039              0.0     1.8871561E+6        1740000.0              0.0              0.0              0.0      18399.23145      22934.00228      0.4072674  -2.1127021E-5
